Date : 2021-04-07 11:29:51
Directory : d:\ИГ\RSSchoolAngular\rslang\src\app
Total : 289 files,  9148 codes, 20 comments, 1558 blanks, all 10726 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\custom-mini-game\services\sound.service.spec.ts                                                | TypeScript |         12 |          0 |          5 |         17 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\custom-mini-game\services\sound.service.ts                                                     | TypeScript |         41 |          0 |          6 |         47 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\custom-mini-game\start-dialog\start-dialog.component.html                                      | HTML       |         64 |          0 |          3 |         67 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\custom-mini-game\start-dialog\start-dialog.component.scss                                      | SCSS       |         39 |          0 |         10 |         49 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\custom-mini-game\start-dialog\start-dialog.component.spec.ts                                   | TypeScript |         21 |          0 |          6 |         27 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\custom-mini-game\start-dialog\start-dialog.component.ts                                        | TypeScript |         31 |          0 |          7 |         38 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\mini-games-routing.module.ts                                                                   | TypeScript |         19 |          0 |          4 |         23 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\mini-games.module.ts                                                                           | TypeScript |         66 |          0 |          3 |         69 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\pages\mini-games-page\mini-games-page.component.html                                           | HTML       |         20 |          0 |          3 |         23 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\pages\mini-games-page\mini-games-page.component.scss                                           | SCSS       |         55 |          0 |          9 |         64 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\pages\mini-games-page\mini-games-page.component.spec.ts                                        | TypeScript |         23 |          0 |          6 |         29 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\pages\mini-games-page\mini-games-page.component.ts                                             | TypeScript |         13 |          0 |          3 |         16 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\savannah\components\lifes\lifes.component.html                                                 | HTML       |          2 |          0 |          1 |          3 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\savannah\components\lifes\lifes.component.scss                                                 | SCSS       |         13 |          0 |          3 |         16 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\savannah\components\lifes\lifes.component.spec.ts                                              | TypeScript |         42 |          0 |         10 |         52 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\savannah\components\lifes\lifes.component.ts                                                   | TypeScript |         13 |          0 |          3 |         16 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\savannah\components\main-actions\main-actions.component.html                                   | HTML       |         13 |          0 |          1 |         14 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\savannah\components\main-actions\main-actions.component.scss                                   | SCSS       |         22 |          0 |          3 |         25 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\savannah\components\main-actions\main-actions.component.spec.ts                                | TypeScript |         27 |          0 |          7 |         34 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\savannah\components\main-actions\main-actions.component.ts                                     | TypeScript |         31 |          0 |          4 |         35 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\savannah\components\options-input\options-input.component.html                                 | HTML       |         10 |          0 |          1 |         11 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\savannah\components\options-input\options-input.component.scss                                 | SCSS       |         32 |          0 |          8 |         40 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\savannah\components\options-input\options-input.component.spec.ts                              | TypeScript |         34 |          0 |          8 |         42 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\savannah\components\options-input\options-input.component.ts                                   | TypeScript |         24 |          0 |          6 |         30 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\savannah\components\sliding-word\sliding-word.component.html                                   | HTML       |          3 |          0 |          1 |          4 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\savannah\components\sliding-word\sliding-word.component.scss                                   | SCSS       |          6 |          0 |          1 |          7 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\savannah\components\sliding-word\sliding-word.component.spec.ts                                | TypeScript |         37 |          0 |          9 |         46 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\savannah\components\sliding-word\sliding-word.component.ts                                     | TypeScript |         92 |          0 |         10 |        102 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\savannah\pages\savannah-mini-game\savannah-mini-game.component.html                            | HTML       |         45 |          0 |          7 |         52 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\savannah\pages\savannah-mini-game\savannah-mini-game.component.scss                            | SCSS       |         59 |          0 |          9 |         68 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\savannah\pages\savannah-mini-game\savannah-mini-game.component.spec.ts                         | TypeScript |         26 |          0 |          6 |         32 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\savannah\pages\savannah-mini-game\savannah-mini-game.component.ts                              | TypeScript |         65 |          0 |         10 |         75 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\savannah\services\savannah.service.spec.ts                                                     | TypeScript |         15 |          0 |          5 |         20 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\savannah\services\savannah.service.ts                                                          | TypeScript |        153 |          0 |         17 |        170 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\savannah\utils\utils.ts                                                                        | TypeScript |         37 |          0 |          7 |         44 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\shared\components\close-game-dialog\close-game-dialog.component.html                           | HTML       |          8 |          0 |          1 |          9 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\shared\components\close-game-dialog\close-game-dialog.component.scss                           | SCSS       |         16 |          0 |          4 |         20 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\shared\components\close-game-dialog\close-game-dialog.component.spec.ts                        | TypeScript |         21 |          0 |          6 |         27 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\shared\components\close-game-dialog\close-game-dialog.component.ts                             | TypeScript |          9 |          0 |          2 |         11 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\shared\components\counter\counter.component.html                                               | HTML       |         11 |          0 |          1 |         12 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\shared\components\counter\counter.component.scss                                               | SCSS       |         11 |          0 |          2 |         13 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\shared\components\counter\counter.component.spec.ts                                            | TypeScript |         40 |          0 |          9 |         49 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\shared\components\counter\counter.component.ts                                                 | TypeScript |         47 |          0 |          4 |         51 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\shared\components\end-game\end-game.component.html                                             | HTML       |         47 |          0 |          2 |         49 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\shared\components\end-game\end-game.component.scss                                             | SCSS       |         59 |          0 |         14 |         73 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\shared\components\end-game\end-game.component.spec.ts                                          | TypeScript |         44 |          0 |          6 |         50 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\shared\components\end-game\end-game.component.ts                                               | TypeScript |         45 |          0 |          9 |         54 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\shared\components\full-screen-button\full-screen-button.component.html                         | HTML       |          3 |          0 |          1 |          4 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\shared\components\full-screen-button\full-screen-button.component.scss                         | SCSS       |          5 |          0 |          2 |          7 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\shared\components\full-screen-button\full-screen-button.component.ts                           | TypeScript |         40 |          0 |          7 |         47 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\shared\components\start-game\start-game.component.html                                         | HTML       |         65 |          0 |          4 |         69 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\shared\components\start-game\start-game.component.scss                                         | SCSS       |         57 |          0 |          7 |         64 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\shared\components\start-game\start-game.component.spec.ts                                      | TypeScript |         40 |          0 |          9 |         49 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\shared\components\start-game\start-game.component.ts                                           | TypeScript |         48 |          0 |          8 |         56 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\sprint\components\sprint-game-card\sprint-game-card.component.html                             | HTML       |         48 |          0 |          9 |         57 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\sprint\components\sprint-game-card\sprint-game-card.component.scss                             | SCSS       |         76 |          0 |         15 |         91 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\sprint\components\sprint-game-card\sprint-game-card.component.spec.ts                          | TypeScript |         21 |          0 |          6 |         27 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\sprint\components\sprint-game-card\sprint-game-card.component.ts                               | TypeScript |         59 |          0 |         10 |         69 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\sprint\sprint-mini-game.component.html                                                         | HTML       |         67 |          0 |         10 |         77 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\sprint\sprint-mini-game.component.scss                                                         | SCSS       |         76 |          0 |         13 |         89 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\sprint\sprint-mini-game.component.spec.ts                                                      | TypeScript |         34 |          2 |          7 |         43 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\sprint\sprint-mini-game.component.ts                                                           | TypeScript |        246 |          0 |         38 |        284 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\sprint\utils\utils.ts                                                                          | TypeScript |         67 |          0 |         11 |         78 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\profile\pages\profile-page\profile-page.component.html                                                    | HTML       |         37 |          0 |          5 |         42 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\profile\pages\profile-page\profile-page.component.scss                                                    | SCSS       |         48 |          0 |         11 |         59 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\profile\pages\profile-page\profile-page.component.spec.ts                                                 | TypeScript |         31 |          0 |          6 |         37 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\profile\pages\profile-page\profile-page.component.ts                                                      | TypeScript |         94 |          0 |         10 |        104 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\profile\profile.module.ts                                                                                 | TypeScript |         13 |          0 |          4 |         17 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\redux\actions\audiochallenge.actions.ts                                                                   | TypeScript |         33 |          0 |         19 |         52 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\redux\actions\home.actions.ts                                                                             | TypeScript |          4 |          0 |          4 |          8 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\redux\actions\index.ts                                                                                    | TypeScript |          1 |          0 |          1 |          2 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\redux\actions\textbooks.actions.ts                                                                        | TypeScript |         25 |          0 |          9 |         34 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\redux\actions\user.actions.ts                                                                             | TypeScript |          5 |          0 |          5 |         10 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\redux\effects\audiochallenge.effects.ts                                                                   | TypeScript |        114 |          0 |         10 |        124 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\redux\effects\index.ts                                                                                    | TypeScript |          0 |          0 |          1 |          1 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\redux\effects\team.effect.ts                                                                              | TypeScript |         22 |          0 |          4 |         26 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\redux\effects\textbook.effect.ts                                                                          | TypeScript |        102 |          0 |          6 |        108 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\redux\effects\user.effect.ts                                                                              | TypeScript |         34 |          0 |          5 |         39 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\redux\models\audiochallenge.state.model.ts                                                                | TypeScript |         18 |          0 |          3 |         21 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\redux\models\home.state.model.ts                                                                          | TypeScript |          4 |          0 |          2 |          6 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\redux\models\state.model.ts                                                                               | TypeScript |         10 |          0 |          1 |         11 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\redux\models\teammate.model.ts                                                                            | TypeScript |          9 |          0 |          1 |         10 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\redux\models\textbook.model.ts                                                                            | TypeScript |         32 |          0 |          3 |         35 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\redux\models\user.model.ts                                                                                | TypeScript |          7 |          0 |          1 |          8 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\redux\models\user.state.model.ts                                                                          | TypeScript |          5 |          0 |          2 |          7 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\redux\reducers\audiochallengeReducer.ts                                                                   | TypeScript |        152 |          0 |          5 |        157 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\redux\reducers\homeReducer.ts                                                                             | TypeScript |         13 |          1 |          5 |         19 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\redux\reducers\index.ts                                                                                   | TypeScript |          0 |          0 |          1 |          1 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\redux\reducers\textbookReducer.ts                                                                         | TypeScript |         25 |          0 |          4 |         29 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\redux\reducers\userReducer.ts                                                                             | TypeScript |         15 |          0 |          5 |         20 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\redux\selectors\audiochallenge.selectors.ts                                                               | TypeScript |         41 |          0 |         11 |         52 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\redux\selectors\home.selector.ts                                                                          | TypeScript |          7 |          0 |          5 |         12 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\redux\selectors\textbook.selector.ts                                                                      | TypeScript |         14 |          0 |          5 |         19 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\redux\selectors\user.selector.ts                                                                          | TypeScript |         10 |          0 |          8 |         18 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\services\mini-games-helper.servise.ts                                                                     | TypeScript |         17 |          0 |          4 |         21 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\services\mini-games-http.service.ts                                                                       | TypeScript |         43 |          0 |          9 |         52 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\shared\components\file-input\file-input.component.html                                                    | HTML       |         20 |          0 |          4 |         24 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\shared\components\file-input\file-input.component.scss                                                    | SCSS       |         53 |          0 |         10 |         63 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\shared\components\file-input\file-input.component.spec.ts                                                 | TypeScript |         21 |          0 |          6 |         27 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\shared\components\file-input\file-input.component.ts                                                      | TypeScript |         26 |          0 |          4 |         30 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\shared\components\progress\progress.component.html                                                        | HTML       |          3 |          0 |          1 |          4 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\shared\components\progress\progress.component.scss                                                        | SCSS       |         11 |          0 |          1 |         12 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\shared\components\progress\progress.component.spec.ts                                                     | TypeScript |         21 |          0 |          6 |         27 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\shared\components\progress\progress.component.ts                                                          | TypeScript |          9 |          0 |          2 |         11 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\shared\guards\anonymous.guard.ts                                                                          | TypeScript |         15 |          0 |          4 |         19 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\shared\guards\auth.guard.ts                                                                               | TypeScript |         15 |          0 |          4 |         19 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\shared\interceptors\authorization.interceptor.ts                                                          | TypeScript |         18 |          0 |          4 |         22 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\shared\interceptors\error-handler.ingterceptor.ts                                                         | TypeScript |         23 |          0 |          4 |         27 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\shared\interceptors\index.ts                                                                              | TypeScript |         15 |          0 |          3 |         18 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\shared\shared.module.ts                                                                                   | TypeScript |         11 |          0 |          3 |         14 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\statistics\components\long-term-statistics\long-term-statistics\long-term-statistics.component.html       | HTML       |         24 |          0 |          4 |         28 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\statistics\components\long-term-statistics\long-term-statistics\long-term-statistics.component.scss       | SCSS       |          8 |          0 |          2 |         10 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\statistics\components\long-term-statistics\long-term-statistics\long-term-statistics.component.spec.ts    | TypeScript |         24 |          0 |          6 |         30 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\statistics\components\long-term-statistics\long-term-statistics\long-term-statistics.component.ts         | TypeScript |        119 |          0 |         15 |        134 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\statistics\components\short-term-statistics\short-term-statistics\short-term-statistics.component.html    | HTML       |         19 |          0 |          1 |         20 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\statistics\components\short-term-statistics\short-term-statistics\short-term-statistics.component.scss    | SCSS       |         25 |          0 |          4 |         29 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\statistics\components\short-term-statistics\short-term-statistics\short-term-statistics.component.spec.ts | TypeScript |         19 |          0 |          6 |         25 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\statistics\components\short-term-statistics\short-term-statistics\short-term-statistics.component.ts      | TypeScript |         88 |          0 |         15 |        103 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\statistics\pages\statistics-page\statistics-page.component.html                                           | HTML       |         28 |          0 |          1 |         29 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\statistics\pages\statistics-page\statistics-page.component.scss                                           | SCSS       |         38 |          0 |          6 |         44 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\statistics\pages\statistics-page\statistics-page.component.spec.ts                                        | TypeScript |         31 |          0 |          7 |         38 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\statistics\pages\statistics-page\statistics-page.component.ts                                             | TypeScript |         27 |          0 |          6 |         33 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\statistics\services\fake-statistics\fake-statistics.service.spec.ts                                       | TypeScript |         12 |          0 |          5 |         17 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\statistics\services\fake-statistics\fake-statistics.service.ts                                            | TypeScript |         34 |          0 |          8 |         42 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\statistics\services\long-term-statistics\long-term-statistics.service.spec.ts                             | TypeScript |         15 |          0 |          5 |         20 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\statistics\services\long-term-statistics\long-term-statistics.service.ts                                  | TypeScript |         69 |          0 |          9 |         78 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\statistics\services\short-term-statistics\short-term-statistics.service.spec.ts                           | TypeScript |         12 |          0 |          5 |         17 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\statistics\services\short-term-statistics\short-term-statistics.service.ts                                | TypeScript |         44 |          1 |         10 |         55 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\statistics\statistics-routing.module.ts                                                                   | TypeScript |          9 |          0 |          4 |         13 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\statistics\statistics.module.ts                                                                           | TypeScript |         13 |          0 |          4 |         17 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\textbook\components\dictionary-content\dictionary-content.component.html                                  | HTML       |          1 |          0 |          1 |          2 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\textbook\components\dictionary-content\dictionary-content.component.scss                                  | SCSS       |          4 |          0 |          1 |          5 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\textbook\components\dictionary-content\dictionary-content.component.spec.ts                               | TypeScript |         19 |          0 |          6 |         25 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\textbook\components\dictionary-content\dictionary-content.component.ts                                    | TypeScript |         13 |          0 |          3 |         16 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\textbook\components\index.ts                                                                              | TypeScript |          4 |          0 |          1 |          5 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\textbook\components\textbook-content-page\textbook-content-page.component.html                            | HTML       |          1 |          0 |          1 |          2 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\textbook\components\textbook-content-page\textbook-content-page.component.scss                            | SCSS       |          0 |          0 |          1 |          1 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\textbook\components\textbook-content-page\textbook-content-page.component.spec.ts                         | TypeScript |         19 |          0 |          6 |         25 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\textbook\components\textbook-content-page\textbook-content-page.component.ts                              | TypeScript |          9 |          0 |          2 |         11 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\textbook\components\textbook-content\const.ts                                                             | TypeScript |         30 |          0 |          3 |         33 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\textbook\components\textbook-content\textbook-content.component.html                                      | HTML       |         32 |          0 |          1 |         33 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\textbook\components\textbook-content\textbook-content.component.scss                                      | SCSS       |         56 |          0 |          8 |         64 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\textbook\components\textbook-content\textbook-content.component.spec.ts                                   | TypeScript |         29 |          0 |          6 |         35 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\textbook\components\textbook-content\textbook-content.component.ts                                        | TypeScript |         46 |          0 |          7 |         53 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\textbook\components\textbook-menu\const.ts                                                                | TypeScript |          3 |          0 |          2 |          5 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\textbook\components\textbook-menu\textbook-menu.component.html                                            | HTML       |         27 |          0 |          1 |         28 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\textbook\components\textbook-menu\textbook-menu.component.scss                                            | SCSS       |         38 |          0 |          9 |         47 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\textbook\components\textbook-menu\textbook-menu.component.spec.ts                                         | TypeScript |         27 |          0 |          6 |         33 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\textbook\components\textbook-menu\textbook-menu.component.ts                                              | TypeScript |         35 |          0 |          7 |         42 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\textbook\components\textbook-mini-games\const.ts                                                          | TypeScript |         19 |          0 |          2 |         21 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\textbook\components\textbook-mini-games\textbook-mini-games.component.html                                | HTML       |         11 |          0 |          1 |         12 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\textbook\components\textbook-mini-games\textbook-mini-games.component.scss                                | SCSS       |         37 |          0 |          4 |         41 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\textbook\components\textbook-mini-games\textbook-mini-games.component.spec.ts                             | TypeScript |         23 |          0 |          6 |         29 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\textbook\components\textbook-mini-games\textbook-mini-games.component.ts                                  | TypeScript |         17 |          0 |          4 |         21 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\textbook\components\textbook-page\textbook-page.component.html                                            | HTML       |          4 |          0 |          1 |          5 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\textbook\components\textbook-page\textbook-page.component.scss                                            | SCSS       |          6 |          0 |          1 |          7 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\textbook\components\textbook-page\textbook-page.component.spec.ts                                         | TypeScript |         23 |          0 |          6 |         29 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\textbook\components\textbook-page\textbook-page.component.ts                                              | TypeScript |          7 |          0 |          2 |          9 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\textbook\components\word-card\word-card.component.html                                                    | HTML       |         49 |          0 |          1 |         50 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\textbook\components\word-card\word-card.component.scss                                                    | SCSS       |         71 |          0 |         14 |         85 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\textbook\components\word-card\word-card.component.spec.ts                                                 | TypeScript |         43 |          0 |          6 |         49 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\textbook\components\word-card\word-card.component.ts                                                      | TypeScript |         31 |          0 |          7 |         38 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\textbook\textbook-routing.module.ts                                                                       | TypeScript |         29 |          0 |          3 |         32 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\textbook\textbook.module.ts                                                                               | TypeScript |         27 |          0 |          4 |         31 |
| Total                                                                                                                                          |            |      9,148 |         20 |      1,558 |     10,726 |
+------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
